CellID,X_centroid,Y_centroid,phenotype,Cluster
311008,31102.48181818182,24012.636363636364,M1/M0 macrophages,35
490006,30385.13333333333,23443.872727272726,M1/M0 macrophages,36
280834,31100.444444444445,23787.235294117647,M1/M0 macrophages,37
795456,28172.926829268294,23718.08536585365,M1/M0 macrophages,38
260205,30655.381944444445,23818.61111111111,M1/M0 macrophages,39
203703,30611.69476744186,23453.043604651164,M1/M0 macrophages,40
633805,30858.92883895131,23385.73033707865,M1/M0 macrophages,41
872328,29788.23588039867,23573.355481727576,M1/M0 macrophages,42
1018625,29928.086021505376,23254.516129032258,M1/M0 macrophages,43
172000,31137.815789473683,23502.820175438595,M1/M0 macrophages,44
840832,29141.81395348837,23560.988372093023,M1/M0 macrophages,45
621112,31202.922330097088,24078.533980582524,M1/M0 macrophages,46
935418,30714.834951456312,23688.09708737864,M1/M0 macrophages,47
623721,27704.59223300971,23613.06796116505,M1/M0 macrophages,48
667773,28159.63758389261,23685.04697986577,M1/M0 macrophages,49
609301,31141.08450704225,23563.464788732395,M1/M0 macrophages,50
735541,30091.19047619048,23626.19047619048,M1/M0 macrophages,51
700156,30545.21111111111,23554.338888888888,M1/M0 macrophages,52
573275,30767.13978494624,23423.60215053764,M1/M0 macrophages,53
842653,31150.436,23549.68,M1/M0 macrophages,54
560372,31152.649289099525,23571.270142180096,M1/M0 macrophages,55
384966,30562.669724770643,23540.357798165136,M1/M0 macrophages,56
60445,27083.43949044586,23341.73248407644,M2 macrophages,0
508938,30404.067164179105,23516.78358208956,M2 macrophages,1
925882,28374.30357142857,23443.64285714286,M2 macrophages,2
1020720,31387.13103448276,23502.986206896552,M2 macrophages,3
296226,29487.005617977527,23593.08707865169,M2 macrophages,4
994971,27644.508771929824,23554.40350877193,M2 macrophages,5
480443,26868.837988826817,23450.703910614524,M2 macrophages,6
972479,29684.755102040817,23873.81632653061,M2 macrophages,7
185257,28972.532786885247,23473.16393442623,M2 macrophages,8
780681,31580.18613138686,23846.56934306569,M2 macrophages,9
798571,28131.876288659794,23514.329896907217,M2 macrophages,10
954430,30101.27368421053,23209.88947368421,M2 macrophages,11
278070,28571.1971830986,23788.957746478874,M2 macrophages,12
658331,30830.50865051903,23562.63321799308,M2 macrophages,13
360877,27427.157894736843,23463.2,M2 macrophages,14
618283,29987.366336633662,23643.10891089109,M2 macrophages,15
809308,29191.14179104477,23716.358208955226,M2 macrophages,16
867746,31485.8875,23657.875,M2 macrophages,17
1038309,28407.829268292684,23245.51219512195,M2 macrophages,18
298084,27848.576323987538,23401.31464174455,M2 macrophages,19
975727,31388.79245283019,23797.81132075472,M2 macrophages,20
398743,28359.14285714286,23656.015037593985,M2 macrophages,21
530076,30692.836805555555,23821.57986111111,M2 macrophages,22
727381,26970.96551724138,23660.922413793105,M2 macrophages,23
651338,28862.5,23400.00675675676,M2 macrophages,24
890922,29959.411428571428,23936.637142857144,M2 macrophages,25
802818,26661.81818181818,23681.433566433567,M2 macrophages,26
562267,29704.78431372549,23288.96862745098,M2 macrophages,27
60199,28119.457746478874,23269.457746478874,M2 macrophages,28
995807,30406.42372881356,23642.35593220339,M2 macrophages,29
